category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
388,Other disorders of ear,380-389,Diseases Of The Ear And Mastoid Process,320-389,Diseases Of The Nervous System And Sense Organs
389,Hearing loss,380-389,Diseases Of The Ear And Mastoid Process,320-389,Diseases Of The Nervous System And Sense Organs
390,Rheumatic fever without mention of heart involvement,390-392,Acute Rheumatic Fever,390-459,Diseases Of The Circulatory System
391,Rheumatic fever with heart involvement,390-392,Acute Rheumatic Fever,390-459,Diseases Of The Circulatory System
392,Rheumatic chorea,390-392,Acute Rheumatic Fever,390-459,Diseases Of The Circulatory System
393,Chronic rheumatic pericarditis,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
394,Diseases of mitral valve,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
395,Diseases of aortic valve,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
396,Diseases of mitral and aortic valves,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
397,Diseases of other endocardial structures,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
398,Other rheumatic heart disease,393-398,Chronic Rheumatic Heart Disease,390-459,Diseases Of The Circulatory System
401,Essential hypertension,401-405,Hypertensive Disease,390-459,Diseases Of The Circulatory System
402,Hypertensive heart disease,401-405,Hypertensive Disease,390-459,Diseases Of The Circulatory System
403,Hypertensive chronic kidney disease,401-405,Hypertensive Disease,390-459,Diseases Of The Circulatory System
404,Hypertensive heart and chronic kidney disease,401-405,Hypertensive Disease,390-459,Diseases Of The Circulatory System
405,Secondary hypertension,401-405,Hypertensive Disease,390-459,Diseases Of The Circulatory System
410,Acute myocardial infarction,410-414,Ischemic Heart Disease,390-459,Diseases Of The Circulatory System
411,Other acute and subacute forms of ischemic heart disease,410-414,Ischemic Heart Disease,390-459,Diseases Of The Circulatory System
412,Old myocardial infarction,410-414,Ischemic Heart Disease,390-459,Diseases Of The Circulatory System
413,Angina pectoris,410-414,Ischemic Heart Disease,390-459,Diseases Of The Circulatory System
414,Other forms of chronic ischemic heart disease,410-414,Ischemic Heart Disease,390-459,Diseases Of The Circulatory System
415,Acute pulmonary heart disease,415-417,Diseases Of Pulmonary Circulation,390-459,Diseases Of The Circulatory System
416,Chronic pulmonary heart disease,415-417,Diseases Of Pulmonary Circulation,390-459,Diseases Of The Circulatory System
417,Other diseases of pulmonary circulation,415-417,Diseases Of Pulmonary Circulation,390-459,Diseases Of The Circulatory System
420,Acute pericarditis,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
421,Acute and subacute endocarditis,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
422,Acute myocarditis,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
423,Other diseases of pericardium,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
424,Other diseases of endocardium,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
425,Cardiomyopathy,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
426,Conduction disorders,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
427,Cardiac dysrhythmias,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
428,Heart failure,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
429,Ill-defined descriptions and complications of heart disease,420-429,Other Forms Of Heart Disease,390-459,Diseases Of The Circulatory System
430,Subarachnoid hemorrhage,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
431,Intracerebral hemorrhage,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
432,Other and unspecified intracranial hemorrhage,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
433,Occlusion and stenosis of precerebral arteries,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
434,Occlusion of cerebral arteries,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
435,Transient cerebral ischemia,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
436,"Acute, but ill-defined, cerebrovascular disease",430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
437,Other and ill-defined cerebrovascular disease,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
438,Late effects of cerebrovascular disease,430-438,Cerebrovascular Disease,390-459,Diseases Of The Circulatory System
440,Atherosclerosis,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
441,Aortic aneurysm and dissection,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
442,Other aneurysm,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
443,Other peripheral vascular disease,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
444,Arterial embolism and thrombosis,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
445,Atheroembolism,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
446,Polyarteritis nodosa and allied conditions,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
447,Other disorders of arteries and arterioles,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
448,Disease of capillaries,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
449,Septic arterial embolism,440-449,"Diseases Of Arteries, Arterioles, And Capillaries",390-459,Diseases Of The Circulatory System
451,Phlebitis and thrombophlebitis,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
452,Portal vein thrombosis,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
453,Other venous embolism and thrombosis,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
454,Varicose veins of lower extremities,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
455,Hemorrhoids,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
456,Varicose veins of other sites,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
457,Noninfectious disorders of lymphatic channels,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
458,Hypotension,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
459,Other disorders of circulatory system,451-459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",390-459,Diseases Of The Circulatory System
460,Acute nasopharyngitis [common cold],460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
461,Acute sinusitis,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
462,Acute pharyngitis,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
463,Acute tonsillitis,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
464,Acute laryngitis and tracheitis,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
465,Acute upper respiratory infections of multiple or unspecified sites,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
466,Acute bronchitis and bronchiolitis,460-466,Acute Respiratory Infections,460-519,Diseases Of The Respiratory System
470,Deviated nasal septum,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
471,Nasal polyps,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
472,Chronic pharyngitis and nasopharyngitis,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
473,Chronic sinusitis,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
474,Chronic disease of tonsils and adenoids,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
475,Peritonsillar abscess,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
476,Chronic laryngitis and laryngotracheitis,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
477,Allergic rhinitis,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
478,Other diseases of upper respiratory tract,470-478,Other Diseases Of Upper Respiratory Tract,460-519,Diseases Of The Respiratory System
480,Viral pneumonia,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
482,Other bacterial pneumonia,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
483,Pneumonia due to other specified organism,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
484,Pneumonia in infectious diseases classified elsewhere,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
485,"Bronchopneumonia, organism unspecified",480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
486,"Pneumonia, organism unspecified",480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
487,Influenza,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
488,Influenza due to certain identified influenza viruses,480-488,Pneumonia And Influenza,460-519,Diseases Of The Respiratory System
490,"Bronchitis, not specified as acute or chronic",490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
491,Chronic bronchitis,490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
492,Emphysema,490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
493,Asthma,490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
494,Bronchiectasis,490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
495,Extrinsic allergic alveolitis,490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
496,"Chronic airway obstruction, not elsewhere classified",490-496,Chronic Obstructive Pulmonary Disease And Allied Conditions,460-519,Diseases Of The Respiratory System
500,Coal workers' pneumoconiosis,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
501,Asbestosis,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
502,Pneumoconiosis due to other silica or silicates,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
503,Pneumoconiosis due to other inorganic dust,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
504,Pneumonopathy due to inhalation of other dust,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
505,"Pneumoconiosis, unspecified",500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
506,Respiratory conditions due to chemical fumes and vapors,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
507,Pneumonitis due to solids and liquids,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
508,Respiratory conditions due to other and unspecified external agents,500-508,Pneumoconioses And Other Lung Diseases Due To External Agents,460-519,Diseases Of The Respiratory System
510,Empyema,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
511,Pleurisy,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
512,Pneumothorax and air leak,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
513,Abscess of lung and mediastinum,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
514,Pulmonary congestion and hypostasis,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
515,Postinflammatory pulmonary fibrosis,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
516,Other alveolar and parietoalveolar pneumonopathy,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
517,Lung involvement in conditions classified elsewhere,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
518,Other diseases of lung,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
519,Other diseases of respiratory system,510-519,Other Diseases Of Respiratory System,460-519,Diseases Of The Respiratory System
520,Disorders of tooth development and eruption,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
521,Diseases of hard tissues of teeth,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
522,Diseases of pulp and periapical tissues,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
523,Gingival and periodontal diseases,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
524,"Dentofacial anomalies, including malocclusion",520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
525,Other diseases and conditions of the teeth and supporting structures,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
526,Diseases of the jaws,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
527,Diseases of the salivary glands,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
528,Diseases of the oral soft tissues excluding lesions specific for gingiva and tongue,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
529,Diseases and other conditions of the tongue,520-529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",520-579,Diseases Of The Digestive System
530,Diseases of esophagus,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
531,Gastric ulcer,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
532,Duodenal ulcer,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
533,Peptic ulcer site unspecified,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
534,Gastrojejunal ulcer,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
535,Gastritis and duodenitis,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
536,Disorders of function of stomach,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
537,Other disorders of stomach and duodenum,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
538,Gastrointestinal mucositis (ulcerative),530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
539,Complications of bariatric procedures,530-539,"Diseases Of Esophagus, Stomach, And Duodenum",520-579,Diseases Of The Digestive System
540,Acute appendicitis,540-543,Appendicitis,520-579,Diseases Of The Digestive System
541,"Appendicitis, unqualified",540-543,Appendicitis,520-579,Diseases Of The Digestive System
542,Other appendicitis,540-543,Appendicitis,520-579,Diseases Of The Digestive System
543,Other diseases of appendix,540-543,Appendicitis,520-579,Diseases Of The Digestive System
550,Inguinal hernia,550-553,Hernia Of Abdominal Cavity,520-579,Diseases Of The Digestive System
551,Other hernia of abdominal cavity with gangrene,550-553,Hernia Of Abdominal Cavity,520-579,Diseases Of The Digestive System
552,Other hernia of abdominal cavity with obstruction but without mention of gangrene,550-553,Hernia Of Abdominal Cavity,520-579,Diseases Of The Digestive System
553,Other hernia of abdominal cavity without mention of obstruction or gangrene,550-553,Hernia Of Abdominal Cavity,520-579,Diseases Of The Digestive System
555,Regional enteritis,555-558,Noninfective Enteritis And Colitis,520-579,Diseases Of The Digestive System
556,Ulcerative enterocolitis,555-558,Noninfective Enteritis And Colitis,520-579,Diseases Of The Digestive System
557,Vascular insufficiency of intestine,555-558,Noninfective Enteritis And Colitis,520-579,Diseases Of The Digestive System
558,Other and unspecified noninfectious gastroenteritis and colitis,555-558,Noninfective Enteritis And Colitis,520-579,Diseases Of The Digestive System
560,Intestinal obstruction without mention of hernia,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
562,Diverticula of intestine,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
564,Functional digestive disorders not elsewhere classified,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
565,Anal fissure and fistula,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
566,Abscess of anal and rectal regions,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
567,Peritonitis and retroperitoneal infections,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
568,Other disorders of peritoneum,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
569,Other disorders of intestine,560-569,Other Diseases Of Intestines And Peritoneum,520-579,Diseases Of The Digestive System
570,Acute and subacute necrosis of liver,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
571,Chronic liver disease and cirrhosis,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
572,Liver abscess and sequelae of chronic liver disease,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
573,Other disorders of liver,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
574,Cholelithiasis,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
575,Other disorders of gallbladder,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
576,Other disorders of biliary tract,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
577,Diseases of pancreas,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
578,Gastrointestinal hemorrhage,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
579,Intestinal malabsorption,570-579,Other Diseases Of Digestive System,520-579,Diseases Of The Digestive System
580,Acute glomerulonephritis,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
581,Nephrotic syndrome,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
582,Chronic glomerulonephritis,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
583,Nephritis and nephropathy not specified as acute or chronic,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
584,Acute kidney failure,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
585,Chronic kidney disease (ckd),580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
586,"Renal failure, unspecified",580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
587,"Renal sclerosis, unspecified",580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
588,Disorders resulting from impaired renal function,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
589,Small kidney of unknown cause,580-589,"Nephritis, Nephrotic Syndrome, And Nephrosis",580-629,Diseases Of The Genitourinary System
590,Infections of kidney,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
591,Hydronephrosis,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
592,Calculus of kidney and ureter,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
593,Other disorders of kidney and ureter,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
594,Calculus of lower urinary tract,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
595,Cystitis,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
596,Other disorders of bladder,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
597,Urethritis not sexually transmitted and urethral syndrome,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
598,Urethral stricture,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
599,Other disorders of urethra and urinary tract,590-599,Other Diseases Of Urinary System,580-629,Diseases Of The Genitourinary System
600,Hyperplasia of prostate,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
601,Inflammatory diseases of prostate,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
602,Other disorders of prostate,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
603,Hydrocele,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
604,Orchitis and epididymitis,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
605,Redundant prepuce and phimosis,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
606,Male infertility,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
607,Disorders of penis,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
608,Other disorders of male genital organs,600-608,Diseases Of Male Genital Organs,580-629,Diseases Of The Genitourinary System
610,Benign mammary dysplasias,610-612,Disorders Of Breast,580-629,Diseases Of The Genitourinary System
611,Other disorders of breast,610-612,Disorders Of Breast,580-629,Diseases Of The Genitourinary System
612,Deformity and disproportion of reconstructed breast,610-612,Disorders Of Breast,580-629,Diseases Of The Genitourinary System
614,Inflammatory disease of ovary fallopian tube pelvic cellular tissue and peritoneum,614-616,Inflammatory Disease Of Female Pelvic Organs,580-629,Diseases Of The Genitourinary System
615,Inflammatory diseases of uterus except cervix,614-616,Inflammatory Disease Of Female Pelvic Organs,580-629,Diseases Of The Genitourinary System
616,Inflammatory disease of cervix vagina and vulva,614-616,Inflammatory Disease Of Female Pelvic Organs,580-629,Diseases Of The Genitourinary System
617,Endometriosis,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
618,Genital prolapse,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
619,Fistula involving female genital tract,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
620,Noninflammatory disorders of ovary fallopian tube and broad ligament,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
621,Disorders of uterus not elsewhere classified,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
622,Noninflammatory disorders of cervix,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
623,Noninflammatory disorders of vagina,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
624,Noninflammatory disorders of vulva and perineum,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
625,Pain and other symptoms associated with female genital organs,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
626,Disorders of menstruation and other abnormal bleeding from female genital tract,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
627,Menopausal and postmenopausal disorders,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
628,Female infertility,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
629,Other disorders of female genital organs,617-629,Other Disorders Of Female Genital Tract,580-629,Diseases Of The Genitourinary System
630,Hydatidiform mole,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
631,Other abnormal product of conception,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
632,Missed abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
633,Ectopic pregnancy,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
634,Spontaneous abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
635,Legally induced abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
636,Illegal abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
637,Unspecified abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
638,Failed attempted abortion,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
639,Complications following abortion and ectopic and molar pregnancies,630-639,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
640,Hemorrhage in early pregnancy,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
641,Antepartum hemorrhage abruptio placentae and placenta previa,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
642,Hypertension complicating pregnancy childbirth and the puerperium,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
643,Excessive vomiting in pregnancy,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
644,Early or threatened labor,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
645,Late pregnancy,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
646,Other complications of pregnancy not elsewhere classified,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
647,Infectious and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy childbirth or the puerperium,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
648,Other current conditions in the mother classifiable elsewhere but complicating pregnancy childbirth or the puerperium,640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
649,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",640-649,Complications Mainly Related To Pregnancy,630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
650,Normal delivery,650-659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery",630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
651,Multiple gestation,650-659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery",630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
652,Malposition and malpresentation of fetus,650-659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery",630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
653,Disproportion in pregnancy labor and delivery,650-659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery",630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
654,Abnormality of organs and soft tissues of pelvis,650-659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery",630-679,"Complications Of Pregnancy, Childbirth, And The Puerperium"
