800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			807.17 Open fracture of seven ribs
			807.18 Open fracture of eight or more ribs
			807.19 Open fracture of multiple ribs, unspecified
			807.2 Closed fracture of sternum
			807.3 Open fracture of sternum
			807.4 Flail chest
			807.5 Closed fracture of larynx and trachea
			807.6 Open fracture of larynx and trachea
		808 Fracture of pelvis
			808 Fracture of pelvis
			808.0 Closed fracture of acetabulum
			808.1 Open fracture of acetabulum
			808.2 Closed fracture of pubis
			808.3 Open fracture of pubis
			808.4 Closed fracture of other specified part of pelvis
			808.41 Closed fracture of ilium
			808.42 Closed fracture of ischium
			808.43 Multiple closed pelvic fractures with disruption of pelvic circle
			808.44 Multiple closed pelvic fractures without disruption of pelvic circle
			808.49 Closed fracture of other specified part of pelvis
			808.5 Open fracture of other specified part of pelvis
			808.51 Open fracture of ilium
			808.52 Open fracture of ischium
			808.53 Multiple open pelvic fractures with disruption of pelvic circle
			808.54 Multiple open pelvic fractures without disruption of pelvic circle
			808.59 Open fracture of other specified part of pelvis
			808.8 Closed unspecified fracture of pelvis
			808.9 Open unspecified fracture of pelvis
		809 Ill-defined fractures of bones of trunk
			809 Ill-defined fractures of bones of trunk
			809.0 Fracture of bones of trunk, closed
			809.1 Fracture of bones of trunk, open
	810-819 Fracture Of Upper Limb
		810 Fracture of clavicle
			810 Fracture of clavicle
			810.0 Closed fracture of clavicle
			810.00 Closed fracture of clavicle, unspecified part
			810.01 Closed fracture of sternal end of clavicle
			810.02 Closed fracture of shaft of clavicle
			810.03 Closed fracture of acromial end of clavicle
			810.1 Open fracture of clavicle
			810.10 Open fracture of clavicle, unspecified part
			810.11 Open fracture of sternal end of clavicle
			810.12 Open fracture of shaft of clavicle
			810.13 Open fracture of acromial end of clavicle
		811 Fracture of scapula
			811 Fracture of scapula
			811.0 Closed fracture of scapula
			811.00 Closed fracture of scapula, unspecified part
			811.01 Closed fracture of acromial process of scapula
			811.02 Closed fracture of coracoid process of scapula
			811.03 Closed fracture of glenoid cavity and neck of scapula
			811.09 Closed fracture of scapula, other
			811.1 Open fracture of scapula
			811.10 Open fracture of scapula, unspecified part
			811.11 Open fracture of acromial process of scapula
			811.12 Open fracture of coracoid process
			811.13 Open fracture of glenoid cavity and neck of scapula
			811.19 Open fracture of scapula, other
		812 Fracture of humerus
			812 Fracture of humerus
			812.0 Fracture of upper end of humerus closed
			812.00 Closed fracture of unspecified part of upper end of humerus
			812.01 Closed fracture of surgical neck of humerus
			812.02 Closed fracture of anatomical neck of humerus
			812.03 Closed fracture of greater tuberosity of humerus
			812.09 Other closed fracture of upper end of humerus
			812.1 Fracture of upper end of humerus open
			812.10 Open fracture of unspecified part of upper end of humerus
			812.11 Open fracture of surgical neck of humerus
			812.12 Open fracture of anatomical neck of humerus
			812.13 Open fracture of greater tuberosity of humerus
			812.19 Other open fracture of upper end of humerus
			812.2 Closed fracture of shaft or unspecified part of humerus
			812.20 Closed fracture of unspecified part of humerus
			812.21 Closed fracture of shaft of humerus
			812.3 Fracture of shaft or unspecified part of humerus open
			812.30 Open fracture of unspecified part of humerus
			812.31 Open fracture of shaft of humerus
			812.4 Fracture of lower end of humerus closed
			812.40 Closed fracture of unspecified part of lower end of humerus
			812.41 Closed supracondylar fracture of humerus
			812.42 Closed fracture of lateral condyle of humerus
			812.43 Closed fracture of medial condyle of humerus
			812.44 Closed fracture of unspecified condyle(s) of humerus
			812.49 Other closed fracture of lower end of humerus
			812.5 Fracture of lower end of humerus open
			812.50 Open fracture of unspecified part of lower end of humerus
			812.51 Open supracondylar fracture of humerus
			812.52 Open fracture of lateral condyle of humerus
			812.53 Open fracture of medial condyle of humerus
			812.54 Open fracture of unspecified condyle(s) of humerus
			812.59 Other open fracture of lower end of humerus
		813 Fracture of radius and ulna
			813 Fracture of radius and ulna
			813.0 Fracture of upper end of radius and ulna closed
			813.00 Closed fracture of upper end of forearm, unspecified
			813.01 Closed fracture of olecranon process of ulna
			813.02 Closed fracture of coronoid process of ulna
			813.03 Closed Monteggia's fracture
			813.04 Other and unspecified closed fractures of proximal end of ulna (alone)
			813.05 Closed fracture of head of radius
			813.06 Closed fracture of neck of radius
			813.07 Other and unspecified closed fractures of proximal end of radius (alone)
			813.08 Closed fracture of radius with ulna, upper end [any part]
			813.1 Fracture of upper end of radius and ulna open
			813.10 Open fracture of upper end of forearm, unspecified
			813.11 Open fracture of olecranon process of ulna
			813.12 Open fracture of coronoid process of ulna
			813.13 Open Monteggia's fracture
			813.14 Other and unspecified open fractures of proximal end of ulna (alone)
			813.15 Open fracture of head of radius
			813.16 Open fracture of neck of radius
			813.17 Other and unspecified open fractures of proximal end of radius (alone)
			813.18 Open fracture of radius with ulna, upper end (any part)
			813.2 Fracture of shaft of radius and ulna closed
			813.20 Closed fracture of shaft of radius or ulna, unspecified
			813.21 Closed fracture of shaft of radius (alone)
			813.22 Closed fracture of shaft of ulna (alone)
			813.23 Closed fracture of shaft of radius with ulna
			813.3 Fracture of shaft of radius and ulna open
			813.30 Open fracture of shaft of radius or ulna, unspecified
			813.31 Open fracture of shaft of radius (alone)
			813.32 Open fracture of shaft of ulna (alone)
			813.33 Open fracture of shaft of radius with ulna
			813.4 Fracture of lower end of radius and ulna closed
			813.40 Closed fracture of lower end of forearm, unspecified
			813.41 Closed Colles' fracture
			813.42 Other closed fractures of distal end of radius (alone)
			813.43 Closed fracture of distal end of ulna (alone)
			813.44 Closed fracture of lower end of radius with ulna
			813.45 Torus fracture of radius (alone)
			813.46 Torus fracture of ulna (alone)
			813.47 Torus fracture of radius and ulna
			813.5 Fracture of lower end of radius and ulna open
			813.50 Open fracture of lower end of forearm, unspecified
			813.51 Open Colles' fracture
			813.52 Other open fractures of distal end of radius (alone)
			813.53 Open fracture of distal end of ulna (alone)
			813.54 Open fracture of lower end of radius with ulna
			813.8 Fracture of unspecified part of radius with ulna closed
			813.80 Closed fracture of unspecified part of forearm
			813.81 Closed fracture of unspecified part of radius (alone)
			813.82 Closed fracture of unspecified part of ulna (alone)
			813.83 Closed fracture of unspecified part of radius with ulna
			813.9 Fracture of unspecified part of radius with ulna open
			813.90 Open fracture of unspecified part of forearm
			813.91 Open fracture of unspecified part of radius (alone)
			813.92 Open fracture of unspecified part of ulna (alone)
			813.93 Open fracture of unspecified part of radius with ulna
		814 Fracture of carpal bone(s)
			814 Fracture of carpal bone(s)
			814.0 Closed fractures of carpal bones
			814.00 Closed fracture of carpal bone, unspecified
			814.01 Closed fracture of navicular [scaphoid] bone of wrist
			814.02 Closed fracture of lunate [semilunar] bone of wrist
			814.03 Closed fracture of triquetral [cuneiform] bone of wrist
			814.04 Closed fracture of pisiform bone of wrist
			814.05 Closed fracture of trapezium bone [larger multangular] of wrist
			814.06 Closed fracture of trapezoid bone [smaller multangular] of wrist
			814.07 Closed fracture of capitate bone [os magnum] of wrist
			814.08 Closed fracture of hamate [unciform] bone of wrist
			814.09 Closed fracture of other bone of wrist
			814.1 Open fractures of carpal bones
			814.10 Open fracture of carpal bone, unspecified
			814.11 Open fracture of navicular [scaphoid] bone of wrist
			814.12 Open fracture of lunate [semilunar] bone of wrist
			814.13 Open fracture of triquetral [cuneiform] bone of wrist
			814.14 Open fracture of pisiform bone of wrist
			814.15 Open fracture of trapezium bone [larger multangular] of wrist
			814.16 Open fracture of trapezoid bone [smaller multangular] of wrist
			814.17 Open fracture of capitate bone [os magnum] of wrist
			814.18 Open fracture of hamate [unciform] bone of wrist
			814.19 Open fracture of other bone of wrist
		815 Fracture of metacarpal bone(s)
			815 Fracture of metacarpal bone(s)
			815.0 Closed fracture of metacarpal bones
			815.00 Closed fracture of metacarpal bone(s), site unspecified
			815.01 Closed fracture of base of thumb [first] metacarpal
			815.02 Closed fracture of base of other metacarpal bone(s)
			815.03 Closed fracture of shaft of metacarpal bone(s)
			815.04 Closed fracture of neck of metacarpal bone(s)
			815.09 Closed fracture of multiple sites of metacarpus
			815.1 Open fracture of metacarpal bones
			815.10 Open fracture of metacarpal bone(s), site unspecified
			815.11 Open fracture of base of thumb [first] metacarpal
			815.12 Open fracture of base of other metacarpal bone(s)
			815.13 Open fracture of shaft of metacarpal bone(s)
			815.14 Open fracture of neck of metacarpal bone(s)
			815.19 Open fracture of multiple sites of metacarpus
		816 Fracture of one or more phalanges of hand
			816 Fracture of one or more phalanges of hand
			816.0 Closed fracture of one or more phalanges of hand
			816.00 Closed fracture of phalanx or phalanges of hand, unspecified
			816.01 Closed fracture of middle or proximal phalanx or phalanges of hand
			816.02 Closed fracture of distal phalanx or phalanges of hand
			816.03 Closed fracture of multiple sites of phalanx or phalanges of hand
			816.1 Open fracture of one or more phalanges of hand
			816.10 Open fracture of phalanx or phalanges of hand, unspecified
			816.11 Open fracture of middle or proximal phalanx or phalanges of hand
			816.12 Open fracture of distal phalanx or phalanges of hand
			816.13 Open fracture of multiple sites of phalanx or phalanges of hand
		817 Multiple fractures of hand bones
			817 Multiple fractures of hand bones
			817.0 Multiple closed fractures of hand bones
			817.1 Multiple open fractures of hand bones
		818 Ill-defined fractures of upper limb
			818 Ill-defined fractures of upper limb
			818.0 Ill-defined closed fractures of upper limb
			818.1 Ill-defined open fractures of upper limb
		819 Multiple fractures involving both upper limbs and upper limb with rib(s) and sternum
			819 Multiple fractures involving both upper limbs and upper limb with rib(s) and sternum
			819.0 Multiple closed fractures involving both upper limbs, and upper limb with rib(s) and sternum
			819.1 Multiple open fractures involving both upper limbs, and upper limb with rib(s) and sternum
	820-829 Fracture Of Lower Limb
		820 Fracture of neck of femur
			820 Fracture of neck of femur
			820.0 Transcervical fracture closed
			820.00 Closed fracture of intracapsular section of neck of femur, unspecified
			820.01 Closed fracture of epiphysis (separation) (upper) of neck of femur
			820.02 Closed fracture of midcervical section of neck of femur
			820.03 Closed fracture of base of neck of femur
			820.09 Other closed transcervical fracture of neck of femur
			820.1 Transcervical fracture open
			820.10 Open fracture of intracapsular section of neck of femur, unspecified
			820.11 Open fracture of epiphysis (separation) (upper) of neck of femur
			820.12 Open fracture of midcervical section of neck of femur
			820.13 Open fracture of base of neck of femur
			820.19 Other open transcervical fracture of neck of femur
			820.2 Pertrochanteric fracture of femur closed
			820.20 Closed fracture of trochanteric section of neck of femur
			820.21 Closed fracture of intertrochanteric section of neck of femur
			820.22 Closed fracture of subtrochanteric section of neck of femur
			820.3 Pertrochanteric fracture of femur open
			820.30 Open fracture of trochanteric section of neck of femur, unspecified
			820.31 Open fracture of intertrochanteric section of neck of femur
			820.32 Open fracture of subtrochanteric section of neck of femur
			820.8 Closed fracture of unspecified part of neck of femur
			820.9 Open fracture of unspecified part of neck of femur
		821 Fracture of other and unspecified parts of femur
			821 Fracture of other and unspecified parts of femur
			821.0 Fracture of shaft or unspecified part of femur closed
			821.00 Closed fracture of unspecified part of femur
			821.01 Closed fracture of shaft of femur
			821.1 Fracture of shaft or unspecified part of femur open
			821.10 Open fracture of unspecified part of femur
			821.11 Open fracture of shaft of femur
			821.2 Fracture of lower end of femur closed
			821.20 Closed fracture of lower end of femur, unspecified part
			821.21 Closed fracture of condyle, femoral
			821.22 Closed fracture of epiphysis, lower (separation) of femur
			821.23 Closed supracondylar fracture of femur
			821.29 Other closed fracture of lower end of femur
			821.3 Fracture of lower end of femur open
			821.30 Open fracture of lower end of femur, unspecified part
			821.31 Open fracture of condyle, femoral
			821.32 Open fracture of epiphysis. Lower (separation) of femur
			821.33 Open supracondylar fracture of femur
			821.39 Other open fracture of lower end of femur
		822 Fracture of patella
			822 Fracture of patella
			822.0 Closed fracture of patella
			822.1 Open fracture of patella
		823 Fracture of tibia and fibula
			823 Fracture of tibia and fibula
			823.0 Fracture of upper end of tibia and fibula closed
			823.00 Closed fracture of upper end of tibia alone
			823.01 Closed fracture of upper end of fibula alone
			823.02 Closed fracture of upper end of fibula with tibia
			823.1 Fracture of upper end of tibia and fibula open
			823.10 Open fracture of upper end of tibia alone
			823.11 Open fracture of upper end of fibula alone
			823.12 Open fracture of upper end of fibula with tibia
			823.2 Fracture of shaft of tibia and fibula closed
			823.20 Closed fracture of shaft of tibia alone
			823.21 Closed fracture of shaft of fibula alone
			823.22 Closed fracture of shaft of fibula with tibia
			823.3 Fracture of shaft of tibia and fibula open
			823.30 Open fracture of shaft of tibia alone
			823.31 Open fracture of shaft of fibula alone
			823.32 Open fracture of shaft of fibula with tibia
			823.4 Fracture of tibia and fibula, torus fracture
			823.40 Torus fracture, tibia alone
			823.41 Torus fracture, fibula alone
			823.42 Torus fracture, fibula with tibia
			823.8 Fracture of unspecified part of tibia and fibula closed
			823.80 Closed fracture of unspecified part of tibia alone
			823.81 Closed fracture of unspecified part of fibula alone
			823.82 Closed fracture of unspecified part of fibula with tibia
			823.9 Fracture of unspecified part of tibia and fibula open
			823.90 Open fracture of unspecified part of tibia alone
			823.91 Open fracture of unspecified part of fibula alone
			823.92 Open fracture of unspecified part of fibula with tibia
		824 Fracture of ankle
			824 Fracture of ankle
			824.0 Fracture of medial malleolus, closed
			824.1 Fracture of medial malleolus, open
			824.2 Fracture of lateral malleolus, closed
			824.3 Fracture of lateral malleolus, open
			824.4 Bimalleolar fracture, closed
			824.5 Bimalleolar fracture, open
			824.6 Trimalleolar fracture, closed
			824.7 Trimalleolar fracture, open
			824.8 Unspecified fracture of ankle, closed
			824.9 Unspecified fracture of ankle, open
		825 Fracture of one or more tarsal and metatarsal bones
			825 Fracture of one or more tarsal and metatarsal bones
			825.0 Fracture of calcaneus, closed
			825.1 Fracture of calcaneus, open
			825.2 Fracture of other tarsal and metatarsal bones closed
			825.20 Closed fracture of unspecified bone(s) of foot [except toes]
			825.21 Closed fracture of astragalus
			825.22 Closed fracture of navicular [scaphoid], foot
			825.23 Closed fracture of cuboid
			825.24 Closed fracture of cuneiform, foot
			825.25 Closed fracture of metatarsal bone(s)
			825.29 Other closed fracture of tarsal and metatarsal bones
			825.3 Fracture of other tarsal and metatarsal bones open
			825.30 Open fracture of unspecified bone(s) of foot [except toes]
			825.31 Open fracture of astragalus
			825.32 Open fracture of navicular [scaphoid], foot
			825.33 Open fracture of cuboid
			825.34 Open fracture of cuneiform, foot
			825.35 Open fracture of metatarsal bone(s)
			825.39 Other open fracture of tarsal and metatarsal bones
		826 Fracture of one or more phalanges of foot
			826 Fracture of one or more phalanges of foot
			826.0 Closed fracture of one or more phalanges of foot
			826.1 Open fracture of one or more phalanges of foot
		827 Other multiple and ill-defined fractures of lower limb
			827 Other multiple and ill-defined fractures of lower limb
			827.0 Other, multiple and ill-defined fractures of lower limb, closed
			827.1 Other, multiple and ill-defined fractures of lower limb, open
		828 Multiple fractures involving both lower limbs lower with upper limb and lower limb(s) with rib(s) and sternum
			828 Multiple fractures involving both lower limbs lower with upper limb and lower limb(s) with rib(s) and sternum
			828.0 Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum
			828.1 Open multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum
		829 Fracture of unspecified bones
			829 Fracture of unspecified bones
			829.0 Fracture of unspecified bone, closed
			829.1 Fracture of unspecified bone, open
	830-839 Dislocation
		830 Dislocation of jaw
			830 Dislocation of jaw
			830.0 Closed dislocation of jaw
			830.1 Open dislocation of jaw
		831 Dislocation of shoulder
			831 Dislocation of shoulder
			831.0 Closed dislocation of shoulder
			831.00 Closed dislocation of shoulder, unspecified
			831.01 Closed anterior dislocation of humerus
			831.02 Closed posterior dislocation of humerus
			831.03 Closed inferior dislocation of humerus
			831.04 Closed dislocation of acromioclavicular (joint)
			831.09 Closed dislocation of shoulder, other
			831.1 Open dislocation of shoulder
			831.10 Open dislocation of shoulder, unspecified
			831.11 Open anterior dislocation of humerus
			831.12 Open posterior dislocation of humerus
			831.13 Open inferior dislocation of humerus
			831.14 Open dislocation of acromioclavicular (joint)
			831.19 Open dislocation of shoulder, other
		832 Dislocation of elbow
			832 Dislocation of elbow
			832.0 Closed dislocation of elbow
			832.00 Closed dislocation of elbow, unspecified
			832.01 Closed anterior dislocation of elbow
			832.02 Closed posterior dislocation of elbow
			832.03 Closed medial dislocation of elbow
			832.04 Closed lateral dislocation of elbow
			832.09 Closed dislocation of elbow, other
			832.1 Open dislocation of elbow
			832.10 Open dislocation of elbow, unspecified
			832.11 Open anterior dislocation of elbow
			832.12 Open posterior dislocation of elbow
			832.13 Open medial dislocation of elbow
			832.14 Open lateral dislocation of elbow
			832.19 Open dislocation of elbow, other
			832.2 Nursemaid's elbow
		833 Dislocation of wrist
			833 Dislocation of wrist
			833.0 Closed dislocation of wrist
			833.00 Closed dislocation of wrist, unspecified part
			833.01 Closed dislocation of radioulnar (joint), distal
			833.02 Closed dislocation of radiocarpal (joint)
			833.03 Closed dislocation of midcarpal (joint)
			833.04 Closed dislocation of carpometacarpal (joint)
			833.05 Closed dislocation of metacarpal (bone), proximal end
			833.09 Closed dislocation of wrist, other
			833.1 Open dislocation of wrist
			833.10 Open dislocation of wrist, unspecified part
			833.11 Open dislocation of radioulnar (joint), distal
			833.12 Open dislocation of radiocarpal (joint)
			833.13 Open dislocation of midcarpal (joint)
			833.14 Open dislocation of carpometacarpal (joint)
			833.15 Open dislocation of metacarpal (bone), proximal end
			833.19 Open dislocation of wrist, other
		834 Dislocation of finger
			834 Dislocation of finger
			834.0 Closed dislocation of finger
			834.00 Closed dislocation of finger, unspecified part
			834.01 Closed dislocation of metacarpophalangeal (joint)
			834.02 Closed dislocation of interphalangeal (joint), hand
			834.1 Open dislocation of finger
			834.10 Open dislocation of finger, unspecified part
			834.11 Open dislocation of metacarpophalangeal (joint)
			834.12 Open dislocation interphalangeal (joint), hand
		835 Dislocation of hip
			835 Dislocation of hip
			835.0 Closed dislocation of hip
			835.00 Closed dislocation of hip, unspecified site
			835.01 Closed posterior dislocation of hip
			835.02 Closed obturator dislocation of hip
			835.03 Other closed anterior dislocation of hip
			835.1 Open dislocation of hip
			835.10 Open dislocation of hip, unspecified site
			835.11 Open posterior dislocation of hip
			835.12 Open obturator dislocation of hip
			835.13 Other open anterior dislocation of hip
		836 Dislocation of knee
			836 Dislocation of knee
			836.0 Tear of medial cartilage or meniscus of knee, current
			836.1 Tear of lateral cartilage or meniscus of knee, current
			836.2 Other tear of cartilage or meniscus of knee, current
			836.3 Dislocation of patella, closed
			836.4 Dislocation of patella, open
			836.5 Other dislocation of knee closed
			836.50 Dislocation of knee, unspecified, closed
			836.51 Anterior dislocation of tibia, proximal end, closed
			836.52 Posterior dislocation of tibia, proximal end, closed
			836.53 Medial dislocation of tibia, proximal end, closed
			836.54 Lateral dislocation of tibia, proximal end, closed
			836.59 Other dislocation of knee, closed
			836.6 Other dislocation of knee open
			836.60 Dislocation of knee, unspecified, open
			836.61 Anterior dislocation of tibia, proximal end, open
			836.62 Posterior dislocation of tibia, proximal end, open
			836.63 Medial dislocation of tibia, proximal end, open
			836.64 Lateral dislocation of tibia, proximal end, open
			836.69 Other dislocation of knee, open
		837 Dislocation of ankle
			837 Dislocation of ankle
			837.0 Closed dislocation of ankle
			837.1 Open dislocation of ankle
		838 Dislocation of foot
			838 Dislocation of foot
			838.0 Closed dislocation of foot
			838.00 Closed dislocation of foot, unspecified
			838.01 Closed dislocation of tarsal (bone), joint unspecified
			838.02 Closed dislocation of midtarsal (joint)
			838.03 Closed dislocation of tarsometatarsal (joint)
			838.04 Closed dislocation of metatarsal (bone), joint unspecified
			838.05 Closed dislocation of metatarsophalangeal (joint)
			838.06 Closed dislocation of interphalangeal (joint), foot
			838.09 Closed dislocation of foot, other
			838.1 Open dislocation of foot
			838.10 Open dislocation of foot, unspecified
			838.11 Open dislocation of tarsal (bone), joint unspecified
			838.12 Open dislocation of midtarsal (joint)
			838.13 Open dislocation of tarsometatarsal (joint)
			838.14 Open dislocation of metatarsal (bone), joint unspecified
			838.15 Open dislocation of metatarsophalangeal (joint)
			838.16 Open dislocation of interphalangeal (joint), foot
			838.19 Open dislocation of foot, other
		839 Other multiple and ill-defined dislocations
			839 Other multiple and ill-defined dislocations
			839.0 Closed dislocation cervical vertebra
			839.00 Closed dislocation, cervical vertebra, unspecified
			839.01 Closed dislocation, first cervical vertebra
			839.02 Closed dislocation, second cervical vertebra
			839.03 Closed dislocation, third cervical vertebra
			839.04 Closed dislocation, fourth cervical vertebra
			839.05 Closed dislocation, fifth cervical vertebra
			839.06 Closed dislocation, sixth cervical vertebra
			839.07 Closed dislocation, seventh cervical vertebra
			839.08 Closed dislocation, multiple cervical vertebrae
			839.1 Open dislocation cervical vertebra
			839.10 Open dislocation, cervical vertebra, unspecified
			839.11 Open dislocation, first cervical vertebra
			839.12 Open dislocation, second cervical vertebra
			839.13 Open dislocation, third cervical vertebra
			839.14 Open dislocation, fourth cervical vertebra
			839.15 Open dislocation, fifth cervical vertebra
			839.16 Open dislocation, sixth cervical vertebra
			839.17 Open dislocation, seventh cervical vertebra
			839.18 Open dislocation, multiple cervical vertebrae
			839.2 Closed dislocation thoracic and lumbar vertebra
			839.20 Closed dislocation, lumbar vertebra
			839.21 Closed dislocation, thoracic vertebra
			839.3 Open dislocation thoracic and lumbar vertebra
			839.30 Open dislocation, lumbar vertebra
			839.31 Open dislocation, thoracic vertebra
			839.4 Closed dislocation other vertebra
			839.40 Closed dislocation, vertebra, unspecified site
			839.41 Closed dislocation, coccyx
			839.42 Closed dislocation, sacrum
			839.49 Closed dislocation, vertebra, other
			839.5 Open dislocation other vertebra
			839.50 Open dislocation, vertebra, unspecified site
			839.51 Open dislocation, coccyx
			839.52 Open dislocation, sacrum
			839.59 Open dislocation, vertebra,other
			839.6 Closed dislocation other location
			839.61 Closed dislocation, sternum
			839.69 Closed dislocation, other location
			839.7 Open dislocation other location
			839.71 Open dislocation, sternum
			839.79 Open dislocation, other location
			839.8 Closed dislocation, multiple and ill-defined sites
			839.9 Open dislocation, multiple and ill-defined sites
	840-848 Sprains And Strains Of Joints And Adjacent Muscles
		840 Sprains and strains of shoulder and upper arm
			840 Sprains and strains of shoulder and upper arm
			840.0 Acromioclavicular (joint) (ligament) sprain
			840.1 Coracoclavicular (ligament) sprain
			840.2 Coracohumeral (ligament) sprain
			840.3 Infraspinatus (muscle) (tendon) sprain
			840.4 Rotator cuff (capsule) sprain
			840.5 Subscapularis (muscle) sprain
			840.6 Supraspinatus (muscle) (tendon) sprain
			840.7 Superior glenoid labrum lesion
			840.8 Sprains and strains of other specified sites of shoulder and upper arm
			840.9 Sprains and strains of unspecified site of shoulder and upper arm
		841 Sprains and strains of elbow and forearm
			841 Sprains and strains of elbow and forearm
			841.0 Radial collateral ligament sprain
			841.1 Ulnar collateral ligament sprain
			841.2 Radiohumeral (joint) sprain
			841.3 Ulnohumeral (joint) sprain
			841.8 Sprains and strains of other specified sites of elbow and forearm
			841.9 Sprains and strains of unspecified site of elbow and forearm
		842 Sprains and strains of wrist and hand
			842 Sprains and strains of wrist and hand
			842.0 Wrist sprain
			842.00 Sprain of wrist, unspecified site
			842.01 Sprain of carpal (joint) of wrist
			842.02 Sprain of radiocarpal (joint) (ligament) of wrist
			842.09 Other sprains and strains of wrist
			842.1 Hand sprain
			842.10 Sprain of hand, unspecified site
			842.11 Sprain of carpometacarpal (joint) of hand
			842.12 Sprain of metacarpophalangeal (joint) of hand
			842.13 Sprain of interphalangeal (joint) of hand
			842.19 Other sprains and strains of hand
		843 Sprains and strains of hip and thigh
			843 Sprains and strains of hip and thigh
			843.0 Iliofemoral (ligament) sprain
			843.1 Ischiocapsular (ligament) sprain
			843.8 Sprains and strains of other specified sites of hip and thigh
			843.9 Sprains and strains of unspecified site of hip and thigh
		844 Sprains and strains of knee and leg
			844 Sprains and strains of knee and leg
			844.0 Sprain of lateral collateral ligament of knee
			844.1 Sprain of medial collateral ligament of knee
			844.2 Sprain of cruciate ligament of knee
			844.3 Sprain of tibiofibular (joint) (ligament) superior, of knee
			844.8 Sprains and strains of other specified sites of knee and leg
			844.9 Sprains and strains of unspecified site of knee and leg
		845 Sprains and strains of ankle and foot
			845 Sprains and strains of ankle and foot
			845.0 Ankle sprain
			845.00 Sprain of ankle, unspecified site
			845.01 Sprain of deltoid (ligament), ankle
			845.02 Sprain of calcaneofibular (ligament) of ankle
			845.03 Sprain of tibiofibular (ligament), distal of ankle
			845.09 Other sprains and strains of ankle
			845.1 Foot sprain
			845.10 Sprain of foot, unspecified site
			845.11 Sprain of tarsometatarsal (joint) (ligament) of foot
			845.12 Sprain of metatarsophalangeal (joint) of foot
			845.13 Sprain of interphalangeal (joint), toe
			845.19 Other sprain of foot
		846 Sprains and strains of sacroiliac region
			846 Sprains and strains of sacroiliac region
			846.0 Sprain of lumbosacral (joint) (ligament)
			846.1 Sprain of sacroiliac ligament
			846.2 Sprain of sacrospinatus (ligament)
			846.3 Sprain of sacrotuberous (ligament)
			846.8 Sprain of other specified sites of sacroiliac region
			846.9 Sprain of unspecified site of sacroiliac region
		847 Sprains and strains of other and unspecified parts of back
			847 Sprains and strains of other and unspecified parts of back
			847.0 Sprain of neck
			847.1 Sprain of thoracic
			847.2 Sprain of lumbar
			847.3 Sprain of sacrum
			847.4 Sprain of coccyx
			847.9 Sprain of unspecified site of back
		848 Other and ill-defined sprains and strains
			848 Other and ill-defined sprains and strains
			848.0 Sprain of septal cartilage of nose
			848.1 Sprain of jaw
			848.2 Sprain of thyroid region
			848.3 Sprain of ribs
			848.4 Sternum sprain
			848.40 Sprain of sternum , unspecified site
			848.41 Sprain of sternoclavicular (joint) (ligament)
			848.42 Sprain of chondrosternal (joint)
			848.49 Sprain of sternum, other
			848.5 Sprain of pelvic
			848.8 Other specified sites of sprains and strains
			848.9 Unspecified site of sprain and strain
	850-854 Intracranial Injury, Excluding Those With Skull Fracture
		850 Concussion
			850 Concussion
			850.0 Concussion with no loss of consciousness
			850.1 Concussion with brief loss of consciousness
			850.11 Concussion, with loss of consciousness of 30 minutes or less
			850.12 Concussion, with loss of consciousness from 31 to 59 minutes
			850.2 Concussion with moderate loss of consciousness
			850.3 Concussion with prolonged loss of consciousness and return to pre-existing conscious level
			850.4 Concussion with prolonged loss of consciousness, without return to pre-existing conscious level
			850.5 Concussion with loss of consciousness of unspecified duration
			850.9 Concussion, unspecified
		851 Cerebral laceration and contusion
			851 Cerebral laceration and contusion
			851.0 Cortex (cerebral) contusion without mention of open intracranial wound
			851.00 Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness
			851.01 Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness
			851.02 Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness
			851.03 Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.04 Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.05 Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
			851.06 Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration
			851.09 Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified
			851.1 Cortex (cerebral) contusion with open intracranial wound
			851.10 Cortex (cerebral) contusion with open intracranial wound, unspecified state of consciousness
			851.11 Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness
			851.12 Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness
			851.13 Cortex (cerebral) contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness
			851.14 Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			851.15 Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level
